Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_direct,1.2,1.2062565856320784,0.006256585632078426,3.91448637715302e-05,0.006256585632078426,0.7428099147082395,1.6257619655231048,True,1014.0,1.0,0,39.49496245384216
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8265485902117893,0.026548590211789236,0.0007048276422335113,0.026548590211789236,0.3313880848558848,1.2832835056427845,True,1124.0,1.0,0,39.49496245384216
Independent,Beta_2_2_constrained,"N(0,2²)",HalfNormal_sigma2,Z,,0.9449957934143612,,,,0.9361055398189703,0.9493578048780542,,2635.0,1.0,0,39.49496245384216
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,mu_omega,0.5,0.3151592458463908,-0.18484075415360918,0.03416610439607499,0.18484075415360918,0.11904849730091696,0.5037674769003219,True,1806.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_omega,1.0,1.2104184781987064,0.2104184781987064,0.04427593596745948,0.2104184781987064,0.5681391800717559,1.594605217336378,True,1121.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_direct,1.2,1.2335359572540174,0.03353595725401748,0.0011246604289432876,0.03353595725401748,0.7649397827653164,1.664854315949845,True,1067.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,sigma_collateral,0.8,0.850624993049531,0.05062499304953094,0.002562889921265056,0.05062499304953094,0.3664247953727598,1.3084754171982154,True,1384.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta1,Z,,0.9451266483144914,,,,0.9361713524746113,0.9495179882459536,,1846.0,1.0,0,46.187825202941895
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,mu_omega,0.5,0.31785265588804223,-0.18214734411195777,0.033177654967039956,0.18214734411195777,0.12587342428950946,0.5108848589837385,True,2590.0,1.0,0,41.96958661079407
Independent,Beta_2_2_constrained,"N(0,5²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2342484419172701,0.23424844191727012,0.05487233254066867,0.23424844191727012,0.52047208317816,1.6161210855129589,True,838.0,1.01,0,41.96958661079407
