Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_omega,1.0,1.089087789861558,0.08908778986155808,0.00793663430241713,0.08908778986155808,0.8538953742998407,1.3662040073895378,True,1891.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,rho,0.85,0.8741055725575293,0.02410557255752932,0.0005810786283263106,0.02410557255752932,0.6918256841463165,0.9820591488484363,True,2297.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_direct,1.2,1.1537539223678719,-0.04624607763212807,0.002138699696356816,0.04624607763212807,0.9012191312808625,1.3851334931982375,True,2114.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,sigma_collateral,0.8,0.7562254051985279,-0.043774594801472166,0.001916215150033074,0.043774594801472166,0.37378598456712253,1.144156091363149,True,2546.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfCauchy_beta5,Z,,0.9471923591269772,,,,0.9400658083521477,0.9499546606988879,,2256.0,1.0,0,29.602408409118652
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,mu_omega,0.5,0.42783904341428375,-0.07216095658571625,0.005207203655365626,0.07216095658571625,0.19967821800471813,0.6538806021621418,True,3692.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,sigma_omega,1.0,1.090640782590564,0.09064078259056396,0.008215751468629883,0.09064078259056396,0.8351819018029295,1.3578424692352007,True,2156.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,rho,0.85,0.8749628846873063,0.02496288468730634,0.0006231456119117534,0.02496288468730634,0.7008682483440863,0.9824603229100328,True,2210.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,sigma_direct,1.2,1.1525872679968254,-0.04741273200317453,0.00224796715600485,0.04741273200317453,0.8975150504189933,1.3964562361840032,True,2349.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,sigma_collateral,0.8,0.7565254415455028,-0.043474558454497214,0.0018900372328134953,0.043474558454497214,0.35845259575080657,1.1415435006397812,True,2925.0,1.0,0,29.51587963104248
AR(1),Beta_1_1_sampled,"N(0,10²)",HalfNormal_sigma2,Z,,0.9472035497420646,,,,0.9395500566002062,0.9499437893092335,,2365.0,1.0,0,29.51587963104248
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,mu_omega,0.5,0.43084489854897173,-0.06915510145102827,0.004782428056702012,0.06915510145102827,0.19298232844090882,0.6586768524117461,True,3468.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_omega,1.0,1.0762352645710493,0.07623526457104934,0.005811815564217891,0.07623526457104934,0.8287324829877007,1.3360268887763977,True,2396.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,rho,0.85,0.8785911977594592,0.028591197759459175,0.0008174565893205034,0.028591197759459175,0.7014285433460216,0.9825439351392415,True,2431.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_direct,1.2,1.163491752302347,-0.03650824769765304,0.0013328521499531886,0.03650824769765304,0.9164610414204845,1.3989313273784687,True,2412.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,sigma_collateral,0.8,0.7655464983645582,-0.03445350163544181,0.0011870437749433914,0.03445350163544181,0.40626451581957596,1.12588752018682,True,2971.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta1,Z,,0.9444856216440299,,,,0.9340769981874306,0.9493776291193752,,3127.0,1.0,0,29.67418646812439
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.4299390106567131,-0.07006098934328692,0.004908542227760163,0.07006098934328692,0.20418002699886495,0.6647829487840674,True,3103.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.0872680062953046,0.08726800629530462,0.007615704922757327,0.08726800629530462,0.8444385344319778,1.345358008024139,True,2139.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,rho,0.85,0.8752242052454589,0.025224205245458875,0.000636260530265035,0.025224205245458875,0.7008887335989514,0.983341551145329,True,2572.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_direct,1.2,1.1574609853484437,-0.042539014651556295,0.001809567767525321,0.042539014651556295,0.8992793661708283,1.3883157186586146,True,2455.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,sigma_collateral,0.8,0.7604137036472975,-0.0395862963527025,0.0015670748589239872,0.0395862963527025,0.36853542644029486,1.1525182693469613,True,2832.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta2p5,Z,,0.9445263451830074,,,,0.9344904813230703,0.9493664592369668,,2918.0,1.0,0,72.33423447608948
AR(1),Beta_2_2_sampled,"N(0,2²)",HalfCauchy_beta5,mu_omega,0.5,0.43140666605010003,-0.06859333394989997,0.0047050454623624996,0.06859333394989997,0.20185415888831204,0.6713240072032199,True,3582.0,1.0,0,72.22706580162048
